"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P26888","8P26890","8P26889","26_3",1,2,0,9,1,0,1,2022,"8P26888_2022","8P26890_2022","8P26889_2022"
"8P26889","8P26888","8P26890","26_3",1,2,0,9,1,0,1,2022,"8P26889_2022","8P26888_2022","8P26890_2022"
"8P14992","8P26890","8P26888","27_3",1,2,0,10,1,0,1,2022,"8P14992_2022","8P26890_2022","8P26888_2022"
"8P26888","8P14992","8P26890","27_3",1,4,1,10,1,0,1,2022,"8P26888_2022","8P14992_2022","8P26890_2022"
"8P26890","8P26888","8P14992","27_3",1,5,0,10,1,0,1,2022,"8P26890_2022","8P26888_2022","8P14992_2022"
"8P26887","8P26889","8P26891","28_1",1,0,4,10,1,0,1,2022,"8P26887_2022","8P26889_2022","8P26891_2022"
"8P26889","8P26891","8P26887","28_1",1,5,1,10,1,0,1,2022,"8P26889_2022","8P26891_2022","8P26887_2022"
"8P26891","8P26887","8P26889","28_1",1,3,1,10,1,0,1,2022,"8P26891_2022","8P26887_2022","8P26889_2022"
"8P14992","8P26887","8P26889","3_2",1,3,0,6,0,0,1,2022,"8P14992_2022","8P26887_2022","8P26889_2022"
"8P26887","8P26889","8P14992","3_2",1,0,1,6,0,0,1,2022,"8P26887_2022","8P26889_2022","8P14992_2022"
"8P26889","8P14992","8P26887","3_2",1,1,0,7,0,0,1,2022,"8P26889_2022","8P14992_2022","8P26887_2022"
"8P26888","8P26890","8P26891","3_3",1,1,1,7,0,0,1,2022,"8P26888_2022","8P26890_2022","8P26891_2022"
"8P26890","8P26891","8P26888","3_3",1,4,0,6,0,0,1,2022,"8P26890_2022","8P26891_2022","8P26888_2022"
"8P14992","8P26890","8P26887","4_1",1,1,0,7,0,0,1,2022,"8P14992_2022","8P26890_2022","8P26887_2022"
"8P14992","8P26889","8P26888","5_3",1,1,1,8,0,0,1,2022,"8P14992_2022","8P26889_2022","8P26888_2022"
"8P26888","8P14992","8P26889","5_3",1,0,1,8,0,0,1,2022,"8P26888_2022","8P14992_2022","8P26889_2022"
"8P26889","8P26888","8P14992","5_3",1,1,0,8,0,0,1,2022,"8P26889_2022","8P26888_2022","8P14992_2022"
"8P14992","8P26891","8P26888","6_2",1,5,0,9,0,0,1,2022,"8P14992_2022","8P26891_2022","8P26888_2022"
"8P26888","8P14992","8P26891","6_2",1,1,2,9,0,0,1,2022,"8P26888_2022","8P14992_2022","8P26891_2022"
"8P26891","8P26888","8P14992","6_2",1,3,0,9,0,0,1,2022,"8P26891_2022","8P26888_2022","8P14992_2022"
"8P26888","8P26889","8P26891","7_1",1,1,2,10,0,0,1,2022,"8P26888_2022","8P26889_2022","8P26891_2022"
"8P26889","8P26891","8P26888","7_1",1,4,0,9,0,0,1,2022,"8P26889_2022","8P26891_2022","8P26888_2022"
"8P14992","8P26890","8P26887","7_2",1,1,0,10,0,0,1,2022,"8P14992_2022","8P26890_2022","8P26887_2022"
"8P26887","8P14992","8P26890","7_2",1,0,1,9,0,0,1,2022,"8P26887_2022","8P14992_2022","8P26890_2022"
"8P26890","8P26887","8P14992","7_2",1,2,0,9,0,0,1,2022,"8P26890_2022","8P26887_2022","8P14992_2022"
"8P26887","8P26889","8P26890","8_3",1,0,2,10,0,0,1,2022,"8P26887_2022","8P26889_2022","8P26890_2022"
"8P26889","8P26890","8P26887","8_3",1,1,0,10,0,0,1,2022,"8P26889_2022","8P26890_2022","8P26887_2022"
"8P26890","8P26887","8P26889","8_3",1,5,0,10,0,0,1,2022,"8P26890_2022","8P26887_2022","8P26889_2022"
"8P26887","8P26889","8P26888","9_2",1,1,1,11,0,0,1,2022,"8P26887_2022","8P26889_2022","8P26888_2022"
